scenario,workload,init,weather,d_min,q_kW,q_pct_of_base,P_base_kW,cop_ref,peak_T_j_C,peak_T_f_C
S3,nominal,nominal,humid,60,111.42958857039788,38.65673744709233,288.2539912296177,3.7986213,85.0,35.0
S3,nominal,precooled,dry,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,71.50649842486658,16.132665146286097
S3,nominal,precooled,dry,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,80.9665478045924,16.77384018008363
S3,nominal,precooled,dry,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,18.959327208734425
S3,nominal,precooled,dry,20,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,75.8654972443664,24.89217347899273
S3,nominal,precooled,dry,30,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,28.959326894335312
S3,nominal,precooled,dry,45,228.49894434890092,79.27000190844988,288.2539912296177,3.7986213,85.0,35.0
S3,nominal,precooled,dry,60,171.21754806145057,59.39815345871894,288.2539912296177,3.7986213,85.0,35.0
S3,nominal,precooled,humid,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,76.62962392589446,22.408050495876385
S3,nominal,precooled,humid,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,23.359326768658494
S3,nominal,precooled,humid,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,26.692660979332356
S3,nominal,precooled,humid,20,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,80.9886227453943,31.167558828583026
S3,nominal,precooled,humid,30,240.9674895155381,83.595543113777,288.2539912296177,3.7986213,85.0,35.0
S3,nominal,precooled,humid,45,160.32363875348668,55.618879055095505,288.2539912296177,3.7986213,85.0,35.0
S3,nominal,precooled,humid,60,119.97761180319551,41.622185799198036,288.2539912296177,3.7986213,85.0,35.0
S3,burst,nominal,dry,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,77.48347817606579,23.45394805414143
S3,burst,nominal,dry,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,26.632356909225503
S3,burst,nominal,dry,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,28.648221714057907
S3,burst,nominal,dry,20,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,82.82698983432086,32.599948718696645
S3,burst,nominal,dry,30,205.87560466510564,71.42159724723776,288.2539912296177,3.7986213,85.0,35.0
S3,burst,nominal,dry,45,137.105793694478,47.56423080548504,288.2539912296177,3.7986213,85.0,35.0
S3,burst,nominal,dry,60,102.60841421925893,35.596528527344134,288.2539912296177,3.7986213,85.0,35.0
S3,burst,nominal,humid,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,77.48347817606579,23.45394805414143
S3,burst,nominal,humid,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,26.632356909225503
S3,burst,nominal,humid,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,28.648221714057907
S3,burst,nominal,humid,20,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,82.82698983432086,32.599948718696645
S3,burst,nominal,humid,30,205.87560466510564,71.42159724723776,288.2539912296177,3.7986213,85.0,35.0
S3,burst,nominal,humid,45,137.105793694478,47.56423080548504,288.2539912296177,3.7986213,85.0,35.0
S3,burst,nominal,humid,60,102.60841421925893,35.596528527344134,288.2539912296177,3.7986213,85.0,35.0
S3,burst,precooled,dry,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,71.50649842486658,16.132665146286097
S3,burst,precooled,dry,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,17.6074179076849
S3,burst,precooled,dry,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,19.625999073973155
S3,burst,precooled,dry,20,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,76.85001008312163,25.278665810841307
S3,burst,precooled,dry,30,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,30.29266550279619
S3,burst,precooled,dry,45,216.80164939875687,75.21201995293683,288.2539912296177,3.7986213,85.0,35.0
S3,burst,precooled,dry,60,162.38030599746807,56.33237038793296,288.2539912296177,3.7986213,85.0,35.0
S3,burst,precooled,humid,5,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,76.62962392589446,22.408050495876385
S3,burst,precooled,humid,10,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,25.340751760875442
S3,burst,precooled,humid,15,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,85.0,27.359332791798845
S3,burst,precooled,humid,20,263.2534072296177,91.3268906031955,288.2539912296177,3.7986213,81.97313558414955,31.554051160431598
S3,burst,precooled,humid,30,222.9555834178574,77.34691980041143,288.2539912296177,3.7986213,85.0,35.0
S3,burst,precooled,humid,45,148.5299375262809,51.52745219335565,288.2539912296177,3.7986213,85.0,35.0
S3,burst,precooled,humid,60,111.140369739213,38.55640272841206,288.2539912296177,3.7986213,85.0,35.0
