variant,week,date,seed,revenue_usd,rebound_usd,penalty_usd,dwear_usd,shortfall_kWh,mv,sum_q_kW,delivery_ratio,warm,viol_K
single005,w03-jan-scarcity,2024-01-15,7,181.23448656710198,-2.027772903741834,0.0,-32.121682967834715,0.0,215.38394243867845,757.2828229643818,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-15,7,171.24239917651775,-1.846945555390107,0.0,-31.16556363827926,0.0,204.25490837018714,812.6222022086596,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-15,8,181.23448656710198,-0.24321274305691531,0.0,19.346887836718935,0.0,162.13081147343996,757.2828229643818,1.0,3,0.0
ctxfree,w03-jan-scarcity,2024-01-15,8,171.24239917651775,-0.1057750528368615,0.0,12.906776122291944,0.0,158.4413981070627,812.6222022086596,1.0,3,0.0
single005,w03-jan-scarcity,2024-01-15,9,181.23448656710198,-3.6354958714649683,0.004851071229445587,10.154827292990312,0.0713392827859645,174.71030407434716,757.2828229643818,0.9995180131182432,4,0.0
ctxfree,w03-jan-scarcity,2024-01-15,9,171.24239917651775,-3.1185031792512063,0.736050036158678,10.399392050929016,10.824265237627618,163.22546026868122,812.6222022086596,0.9413912554738048,4,0.0
single005,w03-jan-scarcity,2024-01-15,10,181.23448656710198,0.069643216022655,0.0,-25.707475149845962,0.0,206.8723185009253,757.2828229643818,1.0,0,0.0
ctxfree,w03-jan-scarcity,2024-01-15,10,171.24239917651775,-0.020215378398461326,0.0,-27.64457497008243,0.0,198.90718952499878,812.6222022086596,1.0,0,0.0
single005,w03-jan-scarcity,2024-01-15,11,181.23448656710198,-0.09110016131000975,0.0,-40.79351094376415,0.0,222.11909767217617,757.2828229643818,,0,0.0
ctxfree,w03-jan-scarcity,2024-01-15,11,171.24239917651775,-0.09110016131000975,0.0,-40.79351094376415,0.0,212.127010281592,812.6222022086596,,0,0.0
single005,w03-jan-scarcity,2024-01-15,12,181.23448656710198,-3.109177538493668,0.0,-17.323700733259045,0.0,201.6673648388546,757.2828229643818,1.0,3,0.0
ctxfree,w03-jan-scarcity,2024-01-15,12,171.24239917651775,-2.5730906169301306,0.0,-21.734484544965184,0.0,195.549974338413,812.6222022086596,1.0,3,0.0
single005,w03-jan-scarcity,2024-01-15,13,181.23448656710198,0.9232714618606224,0.0,12.575781671345524,0.0,167.73543343389588,757.2828229643818,1.0,2,0.0
ctxfree,w03-jan-scarcity,2024-01-15,13,171.24239917651775,0.6705304112017529,0.0,4.846374467421015,0.0,165.72549429789507,812.6222022086596,1.0,2,0.0
single005,w03-jan-scarcity,2024-01-15,14,181.23448656710198,-1.2274049546514334,0.0,-16.24287254870373,0.0,198.70476407045703,757.2828229643818,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-15,14,171.24239917651775,-0.8925161177370455,0.0,-20.09085800418886,0.0,192.22577329844364,812.6222022086596,1.0,1,0.0
single005,w03-jan-scarcity,2024-01-15,15,181.23448656710198,0.8880053151411857,0.0,-1.8822238707466425,0.0,182.22870512270737,757.2828229643818,1.0,0,0.0
ctxfree,w03-jan-scarcity,2024-01-15,15,171.24239917651775,0.7045231034326207,0.0,-4.292013994593219,0.0,174.82989006767832,812.6222022086596,1.0,0,0.0
single005,w03-jan-scarcity,2024-01-15,16,181.23448656710198,-0.8100759300616573,0.0,-20.68200086652562,0.0,202.72656336368925,757.2828229643818,1.0,1,0.0
ctxfree,w03-jan-scarcity,2024-01-15,16,171.24239917651775,-0.4454132858579669,0.0,-25.37416642599453,0.0,197.06197888837028,812.6222022086596,1.0,1,0.0
