week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,source,scale
w03-jan-scarcity,2024-01-14,5,B4,0.0,0.0,454.74842136541696,0.0,200.21916266000784,-654.9675840254248,0.0,,0,0,0,0,0,0,0.0,23,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,5,B5,200.0,2.094,2.4202083333333335,0.0,0.0,-8.545386415525115,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-8.545386415525115,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,5,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.412,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,6,B1,0.0,0.0,445.6823182836084,0.0,132.14954947291818,-577.8318677565267,0.0,,0,0,0,0,0,0,0.014890552292726511,20,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,6,B2,517.520285267172,6.955472633990791,445.0284675432765,0.0,124.84506417300251,-562.9180590822882,0.0,,0,0,0,0,0,0,0.014890528289427607,21,0,0,14.913808674238453,-0.6538507403319045,alibaba,1.0
w03-jan-scarcity,2024-01-14,6,B3,129.41990813629752,1.1447985921229167,445.91907536718486,0.0,121.2418334847215,-566.0161102597834,0.0,1.0,1,0,0,0,0,0,0.0,21,0,0,11.815757496743231,0.23675708357643543,alibaba,1.0
w03-jan-scarcity,2024-01-14,6,B4,0.0,0.0,445.6823182836084,0.0,132.14954947291818,-577.8318677565267,0.0,,0,0,0,0,0,0,0.014890552292726511,20,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,6,B5,200.0,2.094,1.9079166666666665,0.0,0.0,-8.03309474885845,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-8.03309474885845,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,6,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.412,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,7,B1,0.0,0.0,425.7091869710404,0.0,71.6657562180844,-497.3749431891248,0.0,,0,0,0,0,0,0,0.0,20,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,7,B2,517.520285267172,6.955472633990791,425.47239712805595,0.02017853649661588,99.29235175721522,-517.829454787777,0.7557504305848645,0.99415867974957,1,1,0,0,0,1,0.0,20,0,1,-20.454511598652175,-0.23678984298447858,alibaba,1.0
w03-jan-scarcity,2024-01-14,7,B3,129.41990813629752,1.1447985921229167,425.9279766511168,0.0,70.99731494887787,-495.78049300787177,0.0,1.0,1,0,0,0,0,0,0.0,20,0,0,1.5944501812530234,0.21878968007638377,alibaba,1.0
w03-jan-scarcity,2024-01-14,7,B4,0.0,0.0,425.7091869710404,0.0,71.6657562180844,-497.3749431891248,0.0,,0,0,0,0,0,0,0.0,20,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,7,B5,200.0,2.094,4.328125,0.0,0.0,-10.453303082191782,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-10.453303082191782,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,7,B6,300.0,4.088,15.0,0.0,0.0,-10.911999999999999,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-10.911999999999999,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,8,B1,0.0,0.0,431.2792775769349,0.0,103.13129540333651,-534.4105729802714,0.0,,0,0,0,0,0,0,0.0,19,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,8,B2,517.520285267172,6.955472633990791,430.66550926389,0.0,95.40467642069308,-519.1147130505923,0.0,,0,0,0,0,0,0,0.0,19,0,0,15.295859929679068,-0.6137683130448863,alibaba,1.0
w03-jan-scarcity,2024-01-14,8,B3,129.41990813629752,1.1447985921229167,431.2804155315252,0.0,90.6453027036235,-520.7809196430258,0.0,,0,0,0,0,0,0,0.0,18,0,0,13.6296533372456,0.001137954590319623,alibaba,1.0
w03-jan-scarcity,2024-01-14,8,B4,0.0,0.0,431.2792775769349,0.0,103.13129540333651,-534.4105729802714,0.0,,0,0,0,0,0,0,0.0,19,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,8,B5,200.0,2.094,0.0,0.0,0.0,-6.125178082191782,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-6.125178082191782,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,8,B6,300.0,4.088,0.0,0.0,0.0,4.088,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,4.088,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,9,B1,0.0,0.0,427.9370045965419,0.0,113.27925351711674,-541.2162581136587,0.0,,0,0,0,0,0,0,0.0,22,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,9,B2,517.520285267172,6.955472633990791,427.55353965697213,0.13094917916643087,150.32858549443085,-571.0576016965786,4.904463639192167,0.9620925882226223,1,1,0,0,0,1,5.191289167729295,22,0,1,-29.841343582919876,-0.38346493956976246,alibaba,1.0
w03-jan-scarcity,2024-01-14,9,B3,129.41990813629752,1.1447985921229167,427.85902468797485,0.0,100.24093193416836,-526.9551580300202,0.0,,0,0,0,0,0,0,0.0,21,0,0,14.26110008363844,-0.07797990856704473,alibaba,1.0
w03-jan-scarcity,2024-01-14,9,B4,0.0,0.0,427.9370045965419,0.0,113.27925351711674,-541.2162581136587,0.0,,0,0,0,0,0,0,0.0,22,0,0,0.0,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,9,B5,200.0,2.094,2.4202083333333335,0.0,0.0,-8.545386415525115,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-8.545386415525115,0.0,alibaba,1.0
w03-jan-scarcity,2024-01-14,9,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-3.412,0.0,alibaba,1.0
