week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd
mild,2024-04-01,12,B3,0.0,0.0,102.87598001739725,0.0,97.5475984943967,-200.42357851179395,0.0,,0,0,0.0,2,0,0,0.8433971032209513,-0.01685427574273035
mild,2024-04-01,12,B4,0.0,0.0,102.89283429313998,0.0,98.37414132187492,-201.2669756150149,0.0,,0,0,0.0,2,0,0,0.0,0.0
mild,2024-04-01,12,B5,950.0,7.651000000000001,1.3375694444444444,0.0,0.0,-1.9057475266362252,0.0,1.0,0,0,0.0,0,0,0,-1.9057475266362252,0.0
mild,2024-04-01,12,B6,500.0,10.027,15.0,0.0,0.0,-4.973000000000001,0.0,1.0,0,0,0.0,0,0,0,-4.973000000000001,0.0
mild,2024-04-01,13,B1,0.0,0.0,101.02481355174581,0.0,51.0733230290996,-152.0981365808454,0.0,,0,0,0.0,5,0,0,0.0,0.0
mild,2024-04-01,13,B2,60.17189456657972,1.5175351809691402,101.22044277922997,0.0,71.53198009002818,-171.234887688289,0.0,1.0,1,0,0.0,5,0,0,-19.136751107443615,0.19562922748416156
mild,2024-04-01,13,B3,0.0,0.0,101.00795927779276,0.0,50.090101399431816,-151.09806067722457,0.0,,0,0,0.0,5,0,0,1.000075903620825,-0.01685427395304373
mild,2024-04-01,13,B4,0.0,0.0,101.02481355174581,0.0,51.0733230290996,-152.0981365808454,0.0,,0,0,0.0,5,0,0,0.0,0.0
mild,2024-04-01,13,B5,950.0,7.651000000000001,3.0076388888888888,0.0,0.0,-3.5758169710806698,0.0,1.0,0,0,0.0,0,0,0,-3.5758169710806698,0.0
mild,2024-04-01,13,B6,500.0,10.027,15.0,0.0,0.0,-4.973000000000001,0.0,1.0,0,0,0.0,0,0,0,-4.973000000000001,0.0
mild,2024-04-01,14,B1,0.0,0.0,102.1296063867723,0.0,48.64308897629869,-150.772695363071,0.0,,0,0,0.0,3,0,0,0.0,0.0
