week,controller,mv_mean,mv_std,sum_q_kW,delivery_ratio,penalty_usd,rebound_usd,viol_days,viol_max_K,clip_events,switches,infeas
w14-apr-mild,B3,6.687232991908042,8.758842915105348,142.73885124490266,0.9421930953647626,0.03878780070447303,-1.3580243763919704,2,1.5730885052390846,21.392857142857142,0.0,0.1357142857142857
w14-apr-mild,B4,4.349059401554512,8.51974451917939,78.24377653562995,0.9612718299463304,0.025169947851890542,-1.1436276509070507,1,1.2496272034074423,21.4,0.0,0.07857142857142857
w14-apr-mild,B5,-4.181067467112416,3.305373968009316,807.1428571428571,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w14-apr-mild,B6,4.533857142857142,6.34164485002948,200.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w20-may,B1,0.0,0.0,0.0,,0.0,0.0,0,0.0,22.135714285714286,0.0,0.0
w20-may,B2,54.57097355429462,62.24624126445941,587.8436970693427,0.8658205131909863,1.3226997535107283,-0.8054738833565568,33,8.701767290835576,21.82857142857143,0.0,0.32142857142857145
w20-may,B3,15.82806446818854,25.374372113782858,179.85218343852532,0.9447026554536079,0.33740177559062723,0.3862906089097982,9,3.481025222455571,21.95,0.0,0.18571428571428572
w20-may,B4,9.216732326616725,14.00034263700536,44.72556062441705,0.9838116376977727,0.053904058854349415,0.08229500292073462,0,0.0,21.992857142857144,0.0,0.1
w20-may,B5,20.86045931860187,28.12511913646751,928.5714285714286,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w20-may,B6,50.24042857142857,55.48198944101581,614.2857142857143,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w24-jun,B1,0.0,0.0,0.0,,0.0,0.0,2,0.19886011148474836,22.55,0.0,0.0
w24-jun,B2,17.313085857233006,23.983140627418642,601.0288823757542,0.8276161701572913,0.6064282661999895,-1.4173549791853026,44,7.9871521121538365,22.45,0.0,0.32857142857142857
w24-jun,B3,1.331961561586485,10.15815705327947,163.10172030002877,0.866579640381976,0.09422136114579922,0.35439072649583736,8,2.1789919173164094,22.45,0.0,0.16428571428571428
w24-jun,B4,0.16356431750367903,3.5704556225912056,26.144634142611398,0.8653920139487894,0.019857711628441955,0.06165956405549236,2,0.19886011148474836,22.428571428571427,0.0,0.05
w24-jun,B5,3.5704875924113932,6.143939673817148,550.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w24-jun,B6,17.942285714285713,14.283654064802887,714.2857142857143,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w29-jul,B1,0.0,0.0,0.0,,0.0,0.0,7,0.7427987403657141,22.478571428571428,0.0,0.0
w29-jul,B2,5.944371921876343,7.747949886178749,139.98897818835758,0.8386814819011695,0.040729473693218894,-0.7888351152068619,15,6.606607238471611,22.37142857142857,0.0,0.05
w29-jul,B3,-2.2135931546328735,0.43356088941530235,0.0,,0.0,0.21199795474531039,7,0.7427987406669558,22.485714285714284,0.0,0.0
w29-jul,B4,0.0,0.0,0.0,,0.0,0.0,7,0.7427987403657141,22.478571428571428,0.0,0.0
w29-jul,B5,-6.010271832191782,1.3144517147683807,400.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w29-jul,B6,1.9594285714285713,3.3855388977169913,157.14285714285714,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
w33-aug-humid,B1,0.0,0.0,0.0,,0.0,0.0,16,1.031612411637667,23.357142857142858,0.0,0.0
w33-aug-humid,B2,11.901724057488323,15.38047417344517,179.88022885134876,0.7939533422305759,0.18847604239510574,-0.8607156996308939,28,7.155427179520046,23.307142857142857,0.0,0.09285714285714286
