week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,kappa
mild,2024-04-01,7,B6,500.0,10.027,7.5,0.0,0.0,2.5269999999999992,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,2.5269999999999992,0.0,1.0
mild,2024-04-01,8,B1,0.0,0.0,103.45403116485728,0.0,40.594888698373836,-144.0489198632311,0.0,,0,0,0,0,0,0,0.0,2,0,0,0.0,0.0,1.0
mild,2024-04-01,8,B2,0.0,0.0,103.39595997339019,0.0,40.38038628783081,-143.776346261221,0.0,,0,0,0,0,0,0,0.0,2,0,0,0.2725736020101124,-0.05807119146709283,1.0
mild,2024-04-01,8,B3,0.0,0.0,103.4316369471759,0.0,40.488394074167424,-143.92003102134333,0.0,,0,0,0,0,0,0,0.0,2,0,0,0.12888884188777183,-0.022394217681380724,1.0
mild,2024-04-01,8,B4,0.0,0.0,103.45403116485728,0.0,40.594888698373836,-144.0489198632311,0.0,,0,0,0,0,0,0,0.0,2,0,0,0.0,0.0,1.0
mild,2024-04-01,8,B5,950.0,7.651000000000001,0.0,0.0,0.0,-0.568178082191781,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-0.568178082191781,0.0,1.0
mild,2024-04-01,8,B6,500.0,10.027,0.0,0.0,0.0,10.027,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,10.027,0.0,1.0
mild,2024-04-01,9,B1,0.0,0.0,101.50835336438595,0.0,27.497550254613476,-129.00590361899944,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-01,9,B2,0.0,0.0,101.45028217289202,0.0,27.355040935782174,-128.8053231086742,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.2005805103252385,-0.058071191493937135,1.0
mild,2024-04-01,9,B3,0.0,0.0,101.4859591466942,0.0,27.417773089865367,-128.90373223655956,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.10217138243987733,-0.022394217691754648,1.0
mild,2024-04-01,9,B4,0.0,0.0,101.50835336438595,0.0,27.497550254613476,-129.00590361899944,0.0,,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,1.0
mild,2024-04-01,9,B5,950.0,7.651000000000001,1.3375694444444444,0.0,0.0,-1.9057475266362252,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-1.9057475266362252,0.0,1.0
mild,2024-04-01,9,B6,500.0,10.027,15.0,0.0,0.0,-4.973000000000001,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,-4.973000000000001,0.0,1.0
mild,2024-04-01,10,B1,0.0,0.0,102.31732029805461,0.0,33.220494219348865,-135.5378145174035,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.0,0.0,1.0
mild,2024-04-01,10,B2,0.0,0.0,102.25924910656067,0.0,33.22028481190014,-135.47953391846082,0.0,,0,0,0,0,0,0,0.0,1,0,0,0.05828059894267312,-0.058071191493937135,1.0
