week,date,seed,controller,sum_q_kW,revenue_usd,rt_cost_usd,penalty_usd,degradation_usd,profit_usd,shortfall_kWh,delivery_ratio,n_obligations,n_delivery_failures,n_fail_warm_start,n_fail_out_of_box,n_fail_clean_in_box,n_warm_starts,n_safety_episodes,n_safety_episodes_in_safe_box,safety_episode_max_K,T_viol_K,clip_events,mpc_switches,infeasible_starts,market_value_usd,rebound_energy_usd,source,scale
w03-jan-scarcity,2024-01-14,5,B4,215.53909605485802,2.8968327259668514,443.5372328312776,0.0,93.34128539278746,-533.9816854980982,0.0,1.0,1,0,0,0,0,1,0,0,0.0,0.0,21,0,1,-4.412807586530107,-0.5869320069521109,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,5,B5,200.0,2.094,2.4202083333333335,0.0,0.0,-8.545386415525115,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-8.545386415525115,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,5,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,6,B1,0.0,0.0,455.01176706402384,0.0,153.43046301156966,-608.4422300755934,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,23,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,6,B2,517.520285267172,6.955472633990791,454.3192923036568,0.0,137.1778855851528,-584.5417052548189,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,23,0,0,23.900524820774535,-0.6924747603670198,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,6,B3,248.8006451974789,3.4023488230755246,454.01322064961454,0.6228028074362005,159.927762499838,-611.1614371338133,22.242957408435736,0.6423971104933273,1,1,0,0,0,0,0,0,0.0,4.446612969069122,23,0,0,-2.7192070582198085,-0.9985464144093044,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,6,B4,215.53909605485802,2.8968327259668514,454.3192923036568,0.0,137.1778855851528,-588.6003451628428,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,23,0,0,19.84188491275063,-0.6924747603670198,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,6,B5,200.0,2.094,1.9079166666666665,0.0,0.0,-8.03309474885845,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-8.03309474885845,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,6,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,7,B1,0.0,0.0,434.80255636457866,0.0,66.30522453823644,-501.1077809028151,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,21,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,7,B2,517.520285267172,6.955472633990791,434.4588781258558,0.0,94.80135931158061,-522.3047648034457,0.0,1.0,1,0,0,0,0,1,0,0,0.0,1.3884265692559694,20,0,1,-21.196983900630585,-0.3436782387228732,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,7,B3,248.8006451974789,3.4023488230755246,433.9419774225628,0.0,102.22479626729266,-532.7644248667799,0.0,1.0,2,0,0,0,0,0,0,0,0.0,0.04885484148030628,19,0,0,-31.656643963964825,-0.8605789420158771,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,7,B4,215.53909605485802,2.8968327259668514,434.34523256948574,0.0,75.18052922275155,-506.6289290662704,0.0,1.0,1,0,0,0,0,1,0,0,0.0,0.0,19,0,1,-5.5211481634553365,-0.4573237950929183,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,7,B5,200.0,2.094,4.328125,0.0,0.0,-10.453303082191782,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-10.453303082191782,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,7,B6,300.0,4.088,15.0,0.0,0.0,-10.911999999999999,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-10.911999999999999,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,8,B1,0.0,0.0,446.0696963076683,0.0,80.57159245413607,-526.6412887618044,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,23,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,8,B2,517.520285267172,6.955472633990791,445.4327738230543,0.0,69.9308569752615,-508.408158164325,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,23,0,0,18.233130597479374,-0.6369224846140469,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,8,B3,248.8006451974789,3.4023488230755246,445.29970028033165,0.0,77.2634260956027,-519.1607775528588,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,23,0,0,7.480511208945586,-0.7699960273366742,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,8,B4,215.53909605485802,2.8968327259668514,445.4327738230543,0.0,69.9308569752615,-512.4667980723489,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,23,0,0,14.174490689455524,-0.6369224846140469,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,8,B5,200.0,2.094,0.0,0.0,0.0,-6.125178082191782,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-6.125178082191782,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,8,B6,300.0,4.088,0.0,0.0,0.0,4.088,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,4.088,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,9,B1,0.0,0.0,439.67448593362514,0.0,63.66671388671515,-503.3411998203403,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,20,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,9,B2,517.520285267172,6.955472633990791,439.2455992300314,0.0,93.19612975113839,-525.486256347179,0.0,1.0,1,0,0,0,0,1,0,0,0.0,2.7931257195621413,20,0,1,-22.145056526838744,-0.4288867035937187,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,9,B3,248.8006451974789,3.4023488230755246,439.012126107647,0.0,73.18669295773138,-508.7964702423029,0.0,1.0,1,0,0,0,0,0,0,0,0.0,0.0,19,0,0,-5.455270421962609,-0.6623598259781147,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,9,B4,215.53909605485802,2.8968327259668514,439.1775478459281,0.0,70.57349954082927,-506.8542146607905,0.0,1.0,1,0,0,0,0,1,0,0,0.0,0.0,19,0,1,-3.5130148404501824,-0.4969380876970604,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,9,B5,200.0,2.094,2.4202083333333335,0.0,0.0,-8.545386415525115,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-8.545386415525115,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,9,B6,300.0,4.088,7.5,0.0,0.0,-3.412,0.0,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,-3.412,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,10,B1,0.0,0.0,440.95732892218274,0.0,92.77895417319536,-533.7362830953781,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,21,0,0,0.0,0.0,alibaba_jobaware,1.0
w03-jan-scarcity,2024-01-14,10,B2,517.520285267172,6.955472633990791,440.24577725377145,0.0,91.27753381976792,-524.5678384395486,0.0,,0,0,0,0,0,0,0,0,0.0,0.0,22,0,0,9.16844465582949,-0.711551668411289,alibaba_jobaware,1.0
